0019597	Hamlet	7/31/2020
0022338	Hedwig and the Angry Inch	1/31/2020
0056506	Hell or High Water	7/31/2020
0014817	Henry V	8/31/2020
0036690	Her	8/31/2020
0017077	High Noon	7/31/2020
0037749	How to Survive a Plague	9/30/2020
0018794	I Walked With a Zombie	8/31/2020
0057080	I Daniel Blake	8/31/2020
0058075	I Tonya	1/31/2020
0058550	If Beale Street Could Talk	10/31/2020
0016865	If...	1/31/2020
0003456	Imitation of Life	8/31/2020
0003394	Imitation of Life	8/31/2020
0011080	In the Heat of the Night	8/31/2020
0018624	In the Time of the Butterflies	12/31/2019
0029526	Inception	9/30/2019
0056502	Inferno	8/31/2020
0026216	Inglourious Basterds	8/31/2020
0058928	Inside Out	9/30/2020
0018743	Insomnia	1/31/2020
0059239	Interstellar	12/31/2019
0028473	Into Thin Air: Death on Everest	10/31/2020
0017092	Invasion of the Body Snatchers	1/31/2020
0011083	Invasion of the Body Snatchers	10/31/2020
0012656	Jailhouse Rock	12/31/2019
0001128	Jaws	12/31/2019
0003799	Jean de Florette	12/31/2019
0022809	Jesus Camp	8/31/2020
0011086	Jezebel	7/31/2020
0017112	Johnny Guitar	7/31/2020
0011822	Julius Caesar	12/31/2019
0013371	Jurassic Park	8/31/2020
0014142	King Kong	7/31/2020
0023385	Knocked Up	1/31/2020
0058287	Kung Fu Panda 3	1/31/2020
0017080	La Dolce Vita	8/31/2020
0028935	Last Days of Pompeii	7/31/2020
0004470	Lean on Me	10/31/2020
0036055	Lee Daniels' The Butler	12/31/2019
0013942	Like Water for Chocolate	7/31/2020
0031089	Limitless	1/31/2020
0011902	Little Caesar	7/31/2020
0002862	Lost Horizon	12/31/2019
0019662	Lost in Translation	7/31/2020
0024077	Love in the Time of Cholera	8/31/2020
0056526	Loving	1/31/2020
0011112	Lust for Life	8/31/2020
0013249	M. Butterfly	1/31/2020
0021327	Mad Hot Ballroom	11/30/2019
0001490	Mad Max	7/31/2020
0041553	Mad Max: Fury Road	8/31/2020
0011932	Madame Bovary	9/30/2019
0025340	Man on Wire	8/31/2020
0011116	Manhattan	12/31/2019
0017169	Mansfield Park	12/31/2019
0011117	Marat/Sade	2/29/2020
0021876	Marie Antoinette	8/31/2020
0033531	Marley	12/31/2019
0011968	Marty	1/31/2020
0014136	Mary Shelley's Frankenstein	8/31/2020
0019234	Max	9/30/2020
0020029	Mean Girls	7/31/2020
0016599	Medium Cool	1/31/2020
0031747	Meek's Cutoff	7/31/2020
0022402	Menace II Society	7/31/2020
0020940	Million Dollar Baby	10/31/2020
0019843	Miracle	10/31/2020
0032208	Mission: Impossible - Ghost Protocol	10/31/2019
0003522	Mississippi Burning	12/31/2019
0056580	Moana	12/31/2019
0010116	Mommie Dearest	7/31/2020
0031938	Moneyball	9/30/2019
0056516	Monster Hunt	1/31/2020
0056563	Moonlight	12/31/2019
0011128	Moonstruck	1/31/2020
0059317	Mr. Holmes	11/30/2019
0002271	Mr. Smith Goes to Washington	8/31/2020
0018312	Mulholland Dr.	8/31/2020
0021756	Munich	8/31/2020
0000891	My Beautiful Laundrette	3/31/2020
0022414-1847796596	My Family Mi Familia	8/31/2020
0022415	My Own Private Idaho	1/31/2020
0011131	Network	8/31/2020
0049400	Night Moves	8/31/2020
0058249	Night School	1/31/2020
0024075	No Country for Old Men	7/31/2020
0011136	North by Northwest	8/31/2020
0012091	Now Voyager	12/31/2019
0017530	O Brother Where Art Thou?	8/31/2020
0002127	Ocean's Eleven	8/31/2020
0000575	On Golden Pond	7/31/2020
0016784	Once Upon a Time in the West	7/31/2020
0014411	Othello	7/31/2020
0016833	Out of Sight	7/31/2020
0010709	Out of the Past	1/31/2020
0023273	Pan's Labyrinth	8/31/2020
0013762	Panther	3/31/2020
0021560	Paradise Now	8/31/2020
0032177	Pariah	1/31/2020
0056868	Paterson	7/31/2020
0000886	Personal Best	10/31/2020
0034759	Pitch Perfect	1/31/2020
0022123	Pleasantville	1/31/2020
0013825	Pocahontas	1/31/2020
0012162	Point Blank	7/31/2020
0059938	Point Break	10/10/2019
